County,Town,Date/Time,Distance,Name,Cost,Month,Day,Quarter,Weekday
NL,Colchester,"Sun, 1/1 10:00 AM",5K,Colchester Youth Services 5K Resolution Run,$20; Students - $15,1,1,1,7
H,Rocky Hill,"Sun, 1/1 10:00 AM",8M,Joe Vailonis Memorial 8 Miler,TBD,1,1,1,7
NH,Orange,"Sun, 1/1 10:30 AM",5K,Chilly Chili Run,"$22 through 12/17/16, $27 afterwards; Ages 12 & under - $12 through 12/17/16, $15 afterwards",1,1,1,7
F,Brookfield,"Sun, 1/1 11:00 AM",4M,Run for Sight,"$20 through 12/9, $25 afterwards",1,1,1,7
NH,Guilford,"Sun, 1/1 11:00 AM",5K,Frosty 5K,"$25 through 12/1/15, $30 afterwards; Group discounts available",1,1,1,7
L,Litchfield,"Sun, 1/1 11:00 AM",5M,Milton Resolution Road Race,"$15, $20 raceday",1,1,1,7
L,Norfolk,"Sat, 1/7 11:00 AM",10M,Norfolk Pub 10-Mile Road Race,$15 Moved from 12/17/16,1,7,1,6
NH,Beacon Falls,"Sat, 1/7 2:00 PM",3.2M,Shiver & Quiver Run,"$20, $10 students, $5 kids",1,7,1,6
NH,Beacon Falls,"Sat, 1/7 2:00 PM",1M,Shiver & Quiver Run,"$20, $10 students, $5 kids",1,7,1,6
F,Norwalk,"Sun, 1/8 10:00 AM",10K,Boston Buildup,Postponed to 1/15,1,8,1,7
H,Enfield,"Sun, 1/8 10:00 AM",5K,No Frill Flannel Run,.$20,1,8,1,7
H,East Hartford,"Sun, 1/8 1:30 PM",5K,Officer Brian Aselton Snow Dash 5K,"$20 through 12/16, $25 after",1,8,1,7
NL,Stonington,"Sat, 1/14 8:00 AM",5M,Frostbite 5-Miler,$30; Ages 12-19 - $25,1,14,1,6
NH,Hamden,"Sun, 1/15 8:30 AM",5K,Save the Parade 5K,"$20, $25 raceday POSTPONED FROM 12/18/16",1,15,1,7
F,Norwalk,"Sun, 1/15 10:00 AM",10K,Boston Buildup,"$20 (or $18 online) for first race, $17 (or $15 online) for subsequent buildup races;
 $47 for series ($45 online) prior to firs race, $50 afterwards Postponed from 1/8",1,15,1,7
L,Barkhamsted,"Sun, 1/15 10:00 AM",8.55M,People's Forest Run,.$2,1,15,1,7
L,Barkhamsted,"Sun, 1/15 10:00 AM",17.1M,People's Forest Run,.$2,1,15,1,7
NH,Meriden,"Sun, 1/15 10:30 AM",5K,Tradition Run,"Free [This race is NOT timed. HOWEVER, a special dispensation has been made for this race. Therefore, it is an eligible race for 169.]",1,15,1,7
F,Ridgefield,"Sun, 1/22 9:00 AM",15K,Boston Buildup,"$20 (or $18 online) for first race, $17 (or $15 online) for subsequent buildup races;
 $47 for series ($45 online) prior to firs race, $50 afterwards",1,22,1,7
NH,Milford,"Sun, 1/29 9:30 AM",5M,Winter Wonderland 5-Miler,"$20, $25 raceday",1,29,1,7
W,Pomfret,"Sat, 2/4 1:00 PM",5K,February Freeze,"$25, $75 for family up to 5 members",2,4,1,6
NH,New Haven,"Sun, 2/5 10:00 AM",5K,IRIS Run for Refugees,"$25 through 12/1, $30 through 12/31, $32 through 2/4, $35 raceday, $10 off for 18 and under",2,5,1,7
NH,Seymour,"Sun, 2/5 11:00 AM",1M,Mr. Seymour Butts Run,"$20, $10 students, $5 kids or Donations accepted, see flyer",2,5,1,7
NH,Seymour,"Sun, 2/5 11:30 AM",1M,Mr. Seymour Butts Run,"$20, $10 students, $5 kids or Donations accepted, see flyer",2,5,1,7
NH,Seymour,"Sun, 2/5 12:00 PM",1M,Mr. Seymour Butts Run,"$20, $10 students, $5 kids or Donations accepted, see flyer",2,5,1,7
NH,Seymour,"Sun, 2/5 12:30 PM",5K,Mr. Seymour Butts Run,"$20, $10 students, $5 kids or Donations accepted, see flyer",2,5,1,7
W,Windham,"Sat, 2/11 10:00 AM",2M,Cupid Made Me Do It,"$25 through 2/10, $30 raceday",2,11,1,6
L,Litchfield,"Sat, 2/11 11:00 AM",5M,Sweetheart Run & Walk,"$25 through 2/7 Ages 11-79, $10 for 10 and under, Free for 80 and over,",2,11,1,6
H,Hartford,"Sun, 2/12 10:00 AM",4M,Cedar Hill Cemetary 4M,$2 - HTC Winter Series Event,2,12,1,7
F,Stratford,"Sat, 2/18 10:00 AM",3M,Second Chance for Romance Run,"$22, $25 raceday, $12 for students 18 and under, $15 raceday",2,18,1,6
F,Danbury,"Sun, 2/19 10:00 AM",5K,Big Chili,.$25,2,19,1,7
F,Fairfield,"Sun, 2/19 9:00 AM",20K,Boston Buildup,"$20 (or $18 online) for first race, $17 (or $15 online) for subsequent buildup races;
 $47 for series ($45 online) prior to firs race, $50 afterwards POSTPONED from 2/12",2,19,1,7
NL,Colchester,"Sat, 2/25 10:00 AM",13.1M,Colchester Half Marathon,"$14, $20 raceday",2,25,1,6
L,Washington,"Sun, 2/26 11:00 AM",7.6M,Polar Bear Run,"$22 (plus fee online), $25 mail-in, $30 day of",2,26,1,7
