Season,Player,Team,Games Played,Win Percentage,Average Scoreboard Position,Shooting Percentage,Assists Per Goal,Goal Participation,Misc Score Per Game,Misc Score Percentage,Number of Wins,Score Per Game,Goals Per Game,Assists Per Game,Saves Per Game,Shots Per Game,MVPs Per Game,Percent of Team's Score,Percent of Team's Goals,Percent of Team's Assists,Percent of Team's Saves,Percent of Team's Shots,Percent of Team's MVPs
1,Chausette45,Shoot N Goal,25,0.52,1.76,0.2308,0.58,0.6786,91,0.473,13,192.2,0.48,0.28,1.56,2.08,0.28,0.36,0.429,0.368,0.345,0.406,0.538
1,Continuum,Aeriality,31,0.323,2.13,0.2727,0.61,0.5273,101.1,0.496,10,204.03,0.58,0.35,1.32,2.13,0.1,0.305,0.327,0.256,0.323,0.297,0.3
1,Cooper,Shoot N Goal,4,0.25,1.75,0.6,1,0.8571,103.8,0.454,1,228.75,0.75,0.75,2,1.25,0,0.401,0.429,0.6,0.421,0.217,0
1,Dogu,The Flying Dutchmen,49,0.49,2.04,0.3246,0.57,0.537,106.1,0.444,24,238.98,0.76,0.43,1.98,2.33,0.18,0.34,0.343,0.28,0.388,0.327,0.375
1,Doomsee,Supersonic Avengers,46,0.391,2.13,0.2701,0.7,0.5727,99.8,0.435,18,229.24,0.8,0.57,1.22,2.98,0.04,0.326,0.336,0.329,0.293,0.349,0.111
1,ELMP,Supersonic Avengers,46,0.391,2.13,0.2721,0.76,0.5909,92.5,0.411,18,224.89,0.8,0.61,1.3,2.96,0.17,0.32,0.336,0.354,0.314,0.346,0.444
1,Fakyy,Shoot N Goal,12,0.167,2.58,0.1579,1.33,0.3889,67.5,0.464,2,145.42,0.25,0.33,1.33,1.58,0,0.274,0.167,0.364,0.291,0.317,0
1,FaNaTiz,Shoot N Goal,29,0.448,2.17,0.2045,0.89,0.5313,86.2,0.514,13,167.59,0.31,0.28,1.45,1.52,0.1,0.321,0.281,0.4,0.323,0.31,0.231
1,GingerNinjaDT9,Comrade Gaming,29,0.172,1.83,0.2676,0.58,0.5172,89,0.461,5,192.93,0.66,0.38,1,2.45,0.07,0.294,0.328,0.256,0.228,0.355,0.4
1,gReazy,Northern Gaming,64,0.688,1.81,0.2698,1.2,0.6054,135.9,0.497,44,273.12,0.8,0.95,1.17,2.95,0.23,0.347,0.276,0.401,0.379,0.309,0.341
1,Jessie,The Flying Dutchmen,49,0.49,2.27,0.3162,0.73,0.5926,106.1,0.463,24,229.18,0.76,0.55,1.43,2.39,0.14,0.326,0.343,0.36,0.28,0.335,0.292
1,Juuksey,Comrade Gaming,34,0.147,1.41,0.3012,0.56,0.619,115.1,0.459,5,251.03,0.74,0.41,2.09,2.44,0.03,0.385,0.397,0.298,0.476,0.344,0.2
1,Kaydop,Aeriality,31,0.323,1.9,0.2237,0.94,0.6,134,0.549,10,244.19,0.55,0.52,1.32,2.45,0.1,0.365,0.309,0.372,0.323,0.342,0.3
1,killarnaud,Shoot N Goal,29,0.448,2.31,0.2667,0.25,0.4688,91.2,0.519,13,175.69,0.41,0.1,1.52,1.55,0.14,0.337,0.375,0.15,0.339,0.317,0.308
1,kuxir97,FlipSid3 Tactics,66,0.697,1.92,0.3167,0.69,0.5728,126.4,0.458,46,276.29,1.06,0.73,1.14,3.35,0.23,0.342,0.34,0.308,0.31,0.328,0.326
1,Lunation,Comrade Gaming,34,0.147,2,0.24,1.11,0.6032,100.9,0.49,5,206.03,0.53,0.59,1.24,2.21,0.06,0.316,0.286,0.425,0.282,0.311,0.4
1,M1k3Rules,FlipSid3 Tactics,66,0.697,2.21,0.295,0.93,0.5534,102.9,0.425,46,241.89,0.89,0.83,1.12,3.03,0.14,0.3,0.286,0.353,0.306,0.297,0.196
1,Maestro,Northern Gaming,64,0.688,2.22,0.3303,0.64,0.6378,103.8,0.417,44,249.06,1.12,0.72,0.8,3.41,0.22,0.317,0.389,0.303,0.258,0.357,0.318
